Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for bsd-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 02:36:37 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(731296k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-27T22:21:00.691-0800: 0.586: [GC (Allocation Failure) [PSYoungGen: 131584K->7170K(153088K)] 131584K->7186K(502784K), 0.0060831 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:43.203-0800: 43.097: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196285K->22749K(523776K), 0.0015634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:43.328-0800: 43.223: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0014564 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:43.458-0800: 43.352: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196317K->22717K(523776K), 0.0022894 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:43.589-0800: 43.483: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196285K->22749K(523776K), 0.0015676 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:43.719-0800: 43.613: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0018526 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:43.851-0800: 43.745: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0013541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:43.979-0800: 43.873: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0014567 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:44.104-0800: 43.999: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0014344 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:44.233-0800: 44.127: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0014534 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:44.360-0800: 44.255: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196317K->22781K(523776K), 0.0014442 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:44.484-0800: 44.378: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196349K->22749K(523776K), 0.0014219 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:44.609-0800: 44.504: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0017297 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:44.736-0800: 44.630: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22749K(523776K), 0.0015265 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:44.860-0800: 44.755: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196317K->22773K(523776K), 0.0015479 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:44.984-0800: 44.878: [GC (Allocation Failure) [PSYoungGen: 173816K->256K(174080K)] 196334K->22773K(523776K), 0.0015289 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:45.109-0800: 45.003: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196341K->22773K(523776K), 0.0013787 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:45.236-0800: 45.131: [GC (Allocation Failure) [PSYoungGen: 173820K->256K(174080K)] 196338K->22773K(523776K), 0.0014996 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:45.361-0800: 45.255: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196341K->22773K(523776K), 0.0013997 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:45.487-0800: 45.382: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196341K->22773K(523776K), 0.0013498 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:45.618-0800: 45.512: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196341K->22741K(523776K), 0.0017917 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:45.748-0800: 45.642: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196309K->22773K(523776K), 0.0015183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:45.876-0800: 45.771: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196341K->22773K(523776K), 0.0014806 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:46.002-0800: 45.896: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196341K->22789K(523776K), 0.0015764 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:46.127-0800: 46.022: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196357K->22829K(523776K), 0.0016191 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:46.255-0800: 46.149: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196397K->22829K(523776K), 0.0013746 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:46.381-0800: 46.275: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196397K->22829K(523776K), 0.0016536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:46.506-0800: 46.401: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196397K->22829K(523776K), 0.0014451 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:46.631-0800: 46.526: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196397K->22829K(523776K), 0.0020146 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:46.756-0800: 46.651: [GC (Allocation Failure) [PSYoungGen: 173816K->288K(174080K)] 196389K->22861K(523776K), 0.0016313 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:46.885-0800: 46.780: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196429K->22829K(523776K), 0.0015184 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:47.011-0800: 46.905: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196397K->22853K(523776K), 0.0014220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:47.138-0800: 47.033: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196421K->22821K(523776K), 0.0016127 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:47.268-0800: 47.162: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196389K->22853K(523776K), 0.0015343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:47.792-0800: 47.687: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196421K->22901K(523776K), 0.0014118 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:47.914-0800: 47.809: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196469K->22933K(523776K), 0.0012950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:48.035-0800: 47.930: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196501K->22901K(523776K), 0.0013373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:48.160-0800: 48.054: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0013461 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:48.281-0800: 48.175: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196469K->22933K(523776K), 0.0013448 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:48.398-0800: 48.293: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196501K->22901K(523776K), 0.0014920 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:48.520-0800: 48.415: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0014708 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:48.641-0800: 48.535: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0012807 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:48.766-0800: 48.660: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0013958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:48.892-0800: 48.786: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0015803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.013-0800: 48.908: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0014289 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.137-0800: 49.032: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0015424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.262-0800: 49.156: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0013183 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.383-0800: 49.277: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0015561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.504-0800: 49.398: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0013723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.627-0800: 49.521: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196469K->22901K(523776K), 0.0013473 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.749-0800: 49.644: [GC (Allocation Failure) [PSYoungGen: 173823K->256K(174080K)] 196469K->22909K(523776K), 0.0013546 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:49.871-0800: 49.765: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196477K->22909K(523776K), 0.0013317 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:49.994-0800: 49.888: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196477K->22909K(523776K), 0.0014150 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:50.122-0800: 50.017: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196477K->22909K(523776K), 0.0015187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:50.247-0800: 50.141: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196477K->22877K(523776K), 0.0014408 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:50.369-0800: 50.263: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196445K->22925K(523776K), 0.0016071 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:50.495-0800: 50.389: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196493K->22925K(523776K), 0.0015517 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:50.623-0800: 50.517: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196493K->22925K(523776K), 0.0018847 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:50.751-0800: 50.646: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196493K->22925K(523776K), 0.0016122 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:50.878-0800: 50.772: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196493K->22925K(523776K), 0.0014120 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:51.005-0800: 50.900: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196493K->22973K(523776K), 0.0019317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:51.132-0800: 51.026: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0016164 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:51.271-0800: 51.165: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0014045 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:51.394-0800: 51.288: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196541K->22941K(523776K), 0.0014925 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:51.519-0800: 51.413: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196509K->22973K(523776K), 0.0013530 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:51.646-0800: 51.540: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0014423 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:51.770-0800: 51.664: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0015843 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:51.897-0800: 51.791: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0014133 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:52.021-0800: 51.915: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0013880 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:52.146-0800: 52.041: [GC (Allocation Failure) [PSYoungGen: 173824K->160K(174080K)] 196541K->22877K(523776K), 0.0016176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:52.271-0800: 52.166: [GC (Allocation Failure) [PSYoungGen: 173728K->256K(174080K)] 196445K->22973K(523776K), 0.0014600 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:52.393-0800: 52.288: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0015700 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:52.519-0800: 52.414: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0014519 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2020-10-27T22:21:52.645-0800: 52.539: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196541K->22973K(523776K), 0.0013766 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:52.769-0800: 52.664: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196541K->23005K(523776K), 0.0015165 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:52.894-0800: 52.789: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196573K->23013K(523776K), 0.0014075 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.072-0800: 52.966: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196581K->23053K(523776K), 0.0014683 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.206-0800: 53.101: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196621K->23053K(523776K), 0.0015993 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.337-0800: 53.231: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196621K->23085K(523776K), 0.0014324 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.465-0800: 53.359: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196653K->23085K(523776K), 0.0016419 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.593-0800: 53.488: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196653K->23085K(523776K), 0.0016737 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.721-0800: 53.616: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196653K->23085K(523776K), 0.0014592 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.850-0800: 53.744: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196653K->23101K(523776K), 0.0013890 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:53.984-0800: 53.878: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23101K(523776K), 0.0013622 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:54.114-0800: 54.008: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23101K(523776K), 0.0022467 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:54.241-0800: 54.135: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196669K->23133K(523776K), 0.0013751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:54.368-0800: 54.263: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196701K->23101K(523776K), 0.0014289 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:54.497-0800: 54.392: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23101K(523776K), 0.0015313 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:54.628-0800: 54.522: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23101K(523776K), 0.0017243 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:54.756-0800: 54.651: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23101K(523776K), 0.0014424 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:54.884-0800: 54.778: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23101K(523776K), 0.0014573 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:55.014-0800: 54.909: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23101K(523776K), 0.0014560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:55.141-0800: 55.035: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196669K->23109K(523776K), 0.0013994 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:55.271-0800: 55.165: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196677K->23117K(523776K), 0.0017455 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:55.423-0800: 55.318: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196685K->23149K(523776K), 0.0014257 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:55.549-0800: 55.443: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196717K->23149K(523776K), 0.0018226 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:55.676-0800: 55.571: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196717K->23149K(523776K), 0.0015838 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:55.803-0800: 55.697: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196717K->23181K(523776K), 0.0014492 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:55.931-0800: 55.825: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196749K->23149K(523776K), 0.0015377 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:56.063-0800: 55.958: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196717K->23149K(523776K), 0.0014586 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:56.192-0800: 56.087: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196717K->23149K(523776K), 0.0015123 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:56.320-0800: 56.215: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196717K->23149K(523776K), 0.0015240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:56.446-0800: 56.341: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196717K->23181K(523776K), 0.0014488 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:56.573-0800: 56.467: [GC (Allocation Failure) [PSYoungGen: 173856K->288K(174080K)] 196749K->23181K(523776K), 0.0016453 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:56.701-0800: 56.596: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196749K->23173K(523776K), 0.0014346 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:56.830-0800: 56.724: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196741K->23173K(523776K), 0.0013909 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:56.958-0800: 56.852: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196741K->23173K(523776K), 0.0014814 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:57.087-0800: 56.981: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196741K->23173K(523776K), 0.0015849 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:57.216-0800: 57.110: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196741K->23181K(523776K), 0.0016025 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:57.347-0800: 57.241: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196749K->23181K(523776K), 0.0015601 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:57.480-0800: 57.374: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196749K->23149K(523776K), 0.0016455 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:57.749-0800: 57.643: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196717K->23181K(523776K), 0.0015146 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:57.880-0800: 57.774: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196749K->23181K(523776K), 0.0015823 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:58.015-0800: 57.909: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196749K->23189K(523776K), 0.0015790 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:58.148-0800: 58.042: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196757K->23221K(523776K), 0.0017782 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:58.275-0800: 58.169: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196789K->23245K(523776K), 0.0015226 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:58.401-0800: 58.295: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196813K->23293K(523776K), 0.0015526 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:58.529-0800: 58.424: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196861K->23293K(523776K), 0.0014861 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:58.661-0800: 58.555: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196861K->23325K(523776K), 0.0013964 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:59.038-0800: 58.932: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196893K->23293K(523776K), 0.0014523 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:59.170-0800: 59.064: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196861K->23317K(523776K), 0.0016161 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:59.305-0800: 59.199: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196885K->23349K(523776K), 0.0015885 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:59.435-0800: 59.329: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014552 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:59.563-0800: 59.457: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196917K->23381K(523776K), 0.0014911 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:59.696-0800: 59.590: [GC (Allocation Failure) [PSYoungGen: 173856K->224K(174080K)] 196949K->23317K(523776K), 0.0015208 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:59.830-0800: 59.724: [GC (Allocation Failure) [PSYoungGen: 173792K->288K(174080K)] 196885K->23381K(523776K), 0.0014492 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
