Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for bsd-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 02:36:37 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(906212k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-10-27T22:13:07.307-0800: 0.636: [GC (Allocation Failure) 2020-10-27T22:13:07.307-0800: 0.636: [DefNew: 139776K->7076K(157248K), 0.0118367 secs] 139776K->7076K(506816K), 0.0119409 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:50.352-0800: 43.680: [GC (Allocation Failure) 2020-10-27T22:13:50.352-0800: 43.680: [DefNew: 139872K->86K(157248K), 0.0030213 secs] 163504K->23718K(506816K), 0.0031201 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.466-0800: 43.794: [GC (Allocation Failure) 2020-10-27T22:13:50.466-0800: 43.794: [DefNew: 139862K->91K(157248K), 0.0027325 secs] 163494K->23724K(506816K), 0.0028352 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.584-0800: 43.912: [GC (Allocation Failure) 2020-10-27T22:13:50.584-0800: 43.912: [DefNew: 139867K->82K(157248K), 0.0022654 secs] 163500K->23714K(506816K), 0.0023402 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.695-0800: 44.024: [GC (Allocation Failure) 2020-10-27T22:13:50.695-0800: 44.024: [DefNew: 139858K->84K(157248K), 0.0022599 secs] 163490K->23716K(506816K), 0.0023434 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.790-0800: 44.119: [GC (Allocation Failure) 2020-10-27T22:13:50.790-0800: 44.119: [DefNew: 139858K->100K(157248K), 0.0023326 secs] 163491K->23732K(506816K), 0.0024075 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.880-0800: 44.208: [GC (Allocation Failure) 2020-10-27T22:13:50.880-0800: 44.208: [DefNew: 139876K->93K(157248K), 0.0023058 secs] 163508K->23726K(506816K), 0.0023842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.970-0800: 44.299: [GC (Allocation Failure) 2020-10-27T22:13:50.970-0800: 44.299: [DefNew: 139869K->96K(157248K), 0.0023333 secs] 163502K->23728K(506816K), 0.0024058 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.059-0800: 44.387: [GC (Allocation Failure) 2020-10-27T22:13:51.059-0800: 44.387: [DefNew: 139872K->111K(157248K), 0.0022398 secs] 163504K->23751K(506816K), 0.0023063 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:51.151-0800: 44.480: [GC (Allocation Failure) 2020-10-27T22:13:51.151-0800: 44.480: [DefNew: 139887K->70K(157248K), 0.0021565 secs] 163527K->23715K(506816K), 0.0022242 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.238-0800: 44.567: [GC (Allocation Failure) 2020-10-27T22:13:51.238-0800: 44.567: [DefNew: 139846K->94K(157248K), 0.0024543 secs] 163491K->23739K(506816K), 0.0025286 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:51.327-0800: 44.656: [GC (Allocation Failure) 2020-10-27T22:13:51.327-0800: 44.656: [DefNew: 139870K->66K(157248K), 0.0021312 secs] 163515K->23712K(506816K), 0.0021967 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.422-0800: 44.750: [GC (Allocation Failure) 2020-10-27T22:13:51.422-0800: 44.750: [DefNew: 139842K->97K(157248K), 0.0022293 secs] 163488K->23747K(506816K), 0.0022987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.521-0800: 44.850: [GC (Allocation Failure) 2020-10-27T22:13:51.521-0800: 44.850: [DefNew: 139873K->63K(157248K), 0.0022450 secs] 163523K->23715K(506816K), 0.0023184 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.614-0800: 44.942: [GC (Allocation Failure) 2020-10-27T22:13:51.614-0800: 44.942: [DefNew: 139839K->92K(157248K), 0.0022001 secs] 163491K->23749K(506816K), 0.0022660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.704-0800: 45.033: [GC (Allocation Failure) 2020-10-27T22:13:51.704-0800: 45.033: [DefNew: 139868K->94K(157248K), 0.0021834 secs] 163525K->23751K(506816K), 0.0022574 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.795-0800: 45.123: [GC (Allocation Failure) 2020-10-27T22:13:51.795-0800: 45.123: [DefNew: 139870K->68K(157248K), 0.0021540 secs] 163527K->23725K(506816K), 0.0022216 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.891-0800: 45.220: [GC (Allocation Failure) 2020-10-27T22:13:51.891-0800: 45.220: [DefNew: 139844K->87K(157248K), 0.0022083 secs] 163501K->23744K(506816K), 0.0022764 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:51.985-0800: 45.314: [GC (Allocation Failure) 2020-10-27T22:13:51.986-0800: 45.314: [DefNew: 139863K->89K(157248K), 0.0022996 secs] 163520K->23746K(506816K), 0.0023739 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.081-0800: 45.410: [GC (Allocation Failure) 2020-10-27T22:13:52.081-0800: 45.410: [DefNew: 139865K->69K(157248K), 0.0022230 secs] 163522K->23726K(506816K), 0.0023111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.176-0800: 45.504: [GC (Allocation Failure) 2020-10-27T22:13:52.176-0800: 45.504: [DefNew: 139845K->92K(157248K), 0.0024173 secs] 163502K->23749K(506816K), 0.0024927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.266-0800: 45.595: [GC (Allocation Failure) 2020-10-27T22:13:52.266-0800: 45.595: [DefNew: 139868K->73K(157248K), 0.0022412 secs] 163525K->23731K(506816K), 0.0023100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.357-0800: 45.685: [GC (Allocation Failure) 2020-10-27T22:13:52.357-0800: 45.685: [DefNew: 139849K->68K(157248K), 0.0022445 secs] 163507K->23726K(506816K), 0.0023208 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.451-0800: 45.779: [GC (Allocation Failure) 2020-10-27T22:13:52.451-0800: 45.779: [DefNew: 139844K->79K(157248K), 0.0022594 secs] 163502K->23737K(506816K), 0.0023314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.540-0800: 45.869: [GC (Allocation Failure) 2020-10-27T22:13:52.541-0800: 45.869: [DefNew: 139855K->69K(157248K), 0.0023873 secs] 163513K->23727K(506816K), 0.0025286 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.633-0800: 45.961: [GC (Allocation Failure) 2020-10-27T22:13:52.633-0800: 45.961: [DefNew: 139845K->74K(157248K), 0.0021818 secs] 163503K->23732K(506816K), 0.0022459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.723-0800: 46.051: [GC (Allocation Failure) 2020-10-27T22:13:52.723-0800: 46.051: [DefNew: 139850K->64K(157248K), 0.0021519 secs] 163508K->23722K(506816K), 0.0022237 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.812-0800: 46.141: [GC (Allocation Failure) 2020-10-27T22:13:52.812-0800: 46.141: [DefNew: 139840K->84K(157248K), 0.0023466 secs] 163498K->23748K(506816K), 0.0024344 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.904-0800: 46.232: [GC (Allocation Failure) 2020-10-27T22:13:52.904-0800: 46.232: [DefNew: 139860K->84K(157248K), 0.0022990 secs] 163524K->23747K(506816K), 0.0023815 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:52.994-0800: 46.322: [GC (Allocation Failure) 2020-10-27T22:13:52.994-0800: 46.322: [DefNew: 139860K->59K(157248K), 0.0021581 secs] 163523K->23723K(506816K), 0.0022241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:53.086-0800: 46.414: [GC (Allocation Failure) 2020-10-27T22:13:53.086-0800: 46.414: [DefNew: 139835K->59K(157248K), 0.0021611 secs] 163499K->23723K(506816K), 0.0022309 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:53.179-0800: 46.508: [GC (Allocation Failure) 2020-10-27T22:13:53.179-0800: 46.508: [DefNew: 139835K->83K(157248K), 0.0023249 secs] 163499K->23746K(506816K), 0.0024025 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:53.271-0800: 46.600: [GC (Allocation Failure) 2020-10-27T22:13:53.271-0800: 46.600: [DefNew: 139859K->66K(157248K), 0.0020081 secs] 163522K->23729K(506816K), 0.0020750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:53.361-0800: 46.689: [GC (Allocation Failure) 2020-10-27T22:13:53.361-0800: 46.689: [DefNew: 139842K->69K(157248K), 0.0021395 secs] 163505K->23732K(506816K), 0.0022126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:53.452-0800: 46.780: [GC (Allocation Failure) 2020-10-27T22:13:53.452-0800: 46.780: [DefNew: 139845K->97K(157248K), 0.0022055 secs] 163508K->23761K(506816K), 0.0022798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:53.546-0800: 46.875: [GC (Allocation Failure) 2020-10-27T22:13:53.546-0800: 46.875: [DefNew: 139873K->80K(157248K), 0.0021272 secs] 163537K->23744K(506816K), 0.0022000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:53.638-0800: 46.966: [GC (Allocation Failure) 2020-10-27T22:13:53.638-0800: 46.966: [DefNew: 139856K->65K(157248K), 0.0020938 secs] 163520K->23728K(506816K), 0.0021679 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:53.727-0800: 47.056: [GC (Allocation Failure) 2020-10-27T22:13:53.727-0800: 47.056: [DefNew: 139841K->93K(157248K), 0.0020041 secs] 163504K->23756K(506816K), 0.0020704 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:53.817-0800: 47.146: [GC (Allocation Failure) 2020-10-27T22:13:53.817-0800: 47.146: [DefNew: 139869K->83K(157248K), 0.0021689 secs] 163532K->23746K(506816K), 0.0022409 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:53.918-0800: 47.246: [GC (Allocation Failure) 2020-10-27T22:13:53.918-0800: 47.246: [DefNew: 139859K->57K(157248K), 0.0019088 secs] 163522K->23721K(506816K), 0.0019744 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:54.010-0800: 47.338: [GC (Allocation Failure) 2020-10-27T22:13:54.010-0800: 47.338: [DefNew: 139833K->56K(157248K), 0.0019392 secs] 163497K->23719K(506816K), 0.0020126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.103-0800: 47.431: [GC (Allocation Failure) 2020-10-27T22:13:54.103-0800: 47.431: [DefNew: 139832K->73K(157248K), 0.0020399 secs] 163495K->23736K(506816K), 0.0021207 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.198-0800: 47.526: [GC (Allocation Failure) 2020-10-27T22:13:54.198-0800: 47.526: [DefNew: 139844K->55K(157248K), 0.0019405 secs] 163507K->23718K(506816K), 0.0020325 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:54.289-0800: 47.617: [GC (Allocation Failure) 2020-10-27T22:13:54.289-0800: 47.617: [DefNew: 139831K->71K(157248K), 0.0020088 secs] 163494K->23734K(506816K), 0.0020841 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:54.380-0800: 47.708: [GC (Allocation Failure) 2020-10-27T22:13:54.380-0800: 47.708: [DefNew: 139847K->64K(157248K), 0.0020156 secs] 163510K->23727K(506816K), 0.0020901 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.472-0800: 47.800: [GC (Allocation Failure) 2020-10-27T22:13:54.472-0800: 47.800: [DefNew: 139840K->61K(157248K), 0.0019985 secs] 163503K->23725K(506816K), 0.0020646 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.562-0800: 47.891: [GC (Allocation Failure) 2020-10-27T22:13:54.562-0800: 47.891: [DefNew: 139837K->61K(157248K), 0.0019534 secs] 163501K->23726K(506816K), 0.0020198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.654-0800: 47.982: [GC (Allocation Failure) 2020-10-27T22:13:54.654-0800: 47.982: [DefNew: 139837K->67K(157248K), 0.0019947 secs] 163502K->23732K(506816K), 0.0020645 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.743-0800: 48.072: [GC (Allocation Failure) 2020-10-27T22:13:54.743-0800: 48.072: [DefNew: 139843K->71K(157248K), 0.0021669 secs] 163508K->23735K(506816K), 0.0022399 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.834-0800: 48.162: [GC (Allocation Failure) 2020-10-27T22:13:54.834-0800: 48.162: [DefNew: 139847K->63K(157248K), 0.0020985 secs] 163511K->23727K(506816K), 0.0021701 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:54.927-0800: 48.255: [GC (Allocation Failure) 2020-10-27T22:13:54.927-0800: 48.255: [DefNew: 139839K->75K(157248K), 0.0019540 secs] 163503K->23739K(506816K), 0.0020206 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:55.019-0800: 48.347: [GC (Allocation Failure) 2020-10-27T22:13:55.019-0800: 48.347: [DefNew: 139851K->97K(157248K), 0.0022275 secs] 163515K->23762K(506816K), 0.0023044 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:55.108-0800: 48.436: [GC (Allocation Failure) 2020-10-27T22:13:55.108-0800: 48.436: [DefNew: 139873K->77K(157248K), 0.0020309 secs] 163538K->23742K(506816K), 0.0020991 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:55.201-0800: 48.529: [GC (Allocation Failure) 2020-10-27T22:13:55.201-0800: 48.529: [DefNew: 139853K->63K(157248K), 0.0022897 secs] 163518K->23728K(506816K), 0.0023693 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:55.291-0800: 48.619: [GC (Allocation Failure) 2020-10-27T22:13:55.291-0800: 48.619: [DefNew: 139839K->81K(157248K), 0.0021103 secs] 163504K->23745K(506816K), 0.0021820 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2020-10-27T22:13:55.381-0800: 48.709: [GC (Allocation Failure) 2020-10-27T22:13:55.381-0800: 48.709: [DefNew: 139857K->86K(157248K), 0.0020123 secs] 163521K->23750K(506816K), 0.0020781 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:55.477-0800: 48.805: [GC (Allocation Failure) 2020-10-27T22:13:55.477-0800: 48.805: [DefNew: 139862K->73K(157248K), 0.0020463 secs] 163526K->23738K(506816K), 0.0021278 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:55.568-0800: 48.897: [GC (Allocation Failure) 2020-10-27T22:13:55.568-0800: 48.897: [DefNew: 139849K->57K(157248K), 0.0020194 secs] 163514K->23721K(506816K), 0.0020962 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:55.662-0800: 48.991: [GC (Allocation Failure) 2020-10-27T22:13:55.662-0800: 48.991: [DefNew: 139833K->81K(157248K), 0.0020867 secs] 163497K->23746K(506816K), 0.0021576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:55.754-0800: 49.082: [GC (Allocation Failure) 2020-10-27T22:13:55.754-0800: 49.082: [DefNew: 139857K->61K(157248K), 0.0020785 secs] 163522K->23726K(506816K), 0.0021732 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:55.845-0800: 49.173: [GC (Allocation Failure) 2020-10-27T22:13:55.845-0800: 49.173: [DefNew: 139837K->72K(157248K), 0.0021293 secs] 163502K->23736K(506816K), 0.0022072 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:55.938-0800: 49.266: [GC (Allocation Failure) 2020-10-27T22:13:55.938-0800: 49.266: [DefNew: 139848K->52K(157248K), 0.0018966 secs] 163512K->23717K(506816K), 0.0019636 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:56.031-0800: 49.359: [GC (Allocation Failure) 2020-10-27T22:13:56.031-0800: 49.360: [DefNew: 139828K->56K(157248K), 0.0019614 secs] 163493K->23721K(506816K), 0.0020368 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.124-0800: 49.452: [GC (Allocation Failure) 2020-10-27T22:13:56.124-0800: 49.452: [DefNew: 139832K->70K(157248K), 0.0022595 secs] 163497K->23735K(506816K), 0.0023364 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.219-0800: 49.548: [GC (Allocation Failure) 2020-10-27T22:13:56.219-0800: 49.548: [DefNew: 139846K->74K(157248K), 0.0020905 secs] 163511K->23738K(506816K), 0.0021638 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:56.310-0800: 49.638: [GC (Allocation Failure) 2020-10-27T22:13:56.310-0800: 49.638: [DefNew: 139850K->55K(157248K), 0.0020571 secs] 163514K->23721K(506816K), 0.0021340 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.402-0800: 49.731: [GC (Allocation Failure) 2020-10-27T22:13:56.403-0800: 49.731: [DefNew: 139831K->66K(157248K), 0.0021238 secs] 163497K->23732K(506816K), 0.0021987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.495-0800: 49.823: [GC (Allocation Failure) 2020-10-27T22:13:56.495-0800: 49.823: [DefNew: 139842K->59K(157248K), 0.0022553 secs] 163508K->23725K(506816K), 0.0023309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.585-0800: 49.913: [GC (Allocation Failure) 2020-10-27T22:13:56.585-0800: 49.913: [DefNew: 139835K->96K(157248K), 0.0020019 secs] 163501K->23761K(506816K), 0.0020660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.677-0800: 50.005: [GC (Allocation Failure) 2020-10-27T22:13:56.677-0800: 50.005: [DefNew: 139872K->78K(157248K), 0.0021897 secs] 163537K->23743K(506816K), 0.0022657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.769-0800: 50.097: [GC (Allocation Failure) 2020-10-27T22:13:56.769-0800: 50.097: [DefNew: 139854K->61K(157248K), 0.0021129 secs] 163519K->23727K(506816K), 0.0021843 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:56.863-0800: 50.192: [GC (Allocation Failure) 2020-10-27T22:13:56.863-0800: 50.192: [DefNew: 139837K->57K(157248K), 0.0020202 secs] 163503K->23722K(506816K), 0.0021006 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:56.962-0800: 50.290: [GC (Allocation Failure) 2020-10-27T22:13:56.962-0800: 50.290: [DefNew: 139833K->48K(157248K), 0.0018353 secs] 163498K->23713K(506816K), 0.0019220 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.054-0800: 50.382: [GC (Allocation Failure) 2020-10-27T22:13:57.054-0800: 50.382: [DefNew: 139824K->87K(157248K), 0.0020269 secs] 163489K->23752K(506816K), 0.0020985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.147-0800: 50.475: [GC (Allocation Failure) 2020-10-27T22:13:57.147-0800: 50.475: [DefNew: 139863K->76K(157248K), 0.0020768 secs] 163528K->23742K(506816K), 0.0021519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.240-0800: 50.568: [GC (Allocation Failure) 2020-10-27T22:13:57.240-0800: 50.568: [DefNew: 139852K->68K(157248K), 0.0020074 secs] 163518K->23733K(506816K), 0.0020746 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.333-0800: 50.661: [GC (Allocation Failure) 2020-10-27T22:13:57.333-0800: 50.661: [DefNew: 139844K->94K(157248K), 0.0020558 secs] 163509K->23760K(506816K), 0.0021275 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.425-0800: 50.754: [GC (Allocation Failure) 2020-10-27T22:13:57.425-0800: 50.754: [DefNew: 139870K->56K(157248K), 0.0020400 secs] 163536K->23722K(506816K), 0.0021150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.518-0800: 50.846: [GC (Allocation Failure) 2020-10-27T22:13:57.518-0800: 50.846: [DefNew: 139832K->76K(157248K), 0.0021610 secs] 163498K->23743K(506816K), 0.0022433 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:57.610-0800: 50.938: [GC (Allocation Failure) 2020-10-27T22:13:57.610-0800: 50.938: [DefNew: 139852K->93K(157248K), 0.0021348 secs] 163519K->23760K(506816K), 0.0022112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.704-0800: 51.032: [GC (Allocation Failure) 2020-10-27T22:13:57.704-0800: 51.032: [DefNew: 139869K->50K(157248K), 0.0019044 secs] 163536K->23716K(506816K), 0.0019815 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.794-0800: 51.122: [GC (Allocation Failure) 2020-10-27T22:13:57.794-0800: 51.122: [DefNew: 139826K->52K(157248K), 0.0022427 secs] 163492K->23718K(506816K), 0.0023254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.885-0800: 51.213: [GC (Allocation Failure) 2020-10-27T22:13:57.885-0800: 51.213: [DefNew: 139828K->76K(157248K), 0.0019711 secs] 163494K->23742K(506816K), 0.0020369 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:57.978-0800: 51.306: [GC (Allocation Failure) 2020-10-27T22:13:57.978-0800: 51.306: [DefNew: 139852K->48K(157248K), 0.0017590 secs] 163518K->23714K(506816K), 0.0018274 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:58.071-0800: 51.399: [GC (Allocation Failure) 2020-10-27T22:13:58.071-0800: 51.399: [DefNew: 139824K->67K(157248K), 0.0021850 secs] 163490K->23733K(506816K), 0.0022594 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.164-0800: 51.492: [GC (Allocation Failure) 2020-10-27T22:13:58.164-0800: 51.492: [DefNew: 139843K->78K(157248K), 0.0020709 secs] 163509K->23744K(506816K), 0.0021400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.257-0800: 51.585: [GC (Allocation Failure) 2020-10-27T22:13:58.257-0800: 51.585: [DefNew: 139854K->67K(157248K), 0.0020501 secs] 163520K->23734K(506816K), 0.0021297 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.349-0800: 51.677: [GC (Allocation Failure) 2020-10-27T22:13:58.349-0800: 51.677: [DefNew: 139843K->76K(157248K), 0.0021128 secs] 163510K->23743K(506816K), 0.0022255 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:58.462-0800: 51.791: [GC (Allocation Failure) 2020-10-27T22:13:58.462-0800: 51.791: [DefNew: 139852K->71K(157248K), 0.0021439 secs] 163519K->23738K(506816K), 0.0022125 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.556-0800: 51.885: [GC (Allocation Failure) 2020-10-27T22:13:58.556-0800: 51.885: [DefNew: 139847K->74K(157248K), 0.0021151 secs] 163514K->23741K(506816K), 0.0021856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.651-0800: 51.979: [GC (Allocation Failure) 2020-10-27T22:13:58.651-0800: 51.979: [DefNew: 139850K->64K(157248K), 0.0022980 secs] 163517K->23731K(506816K), 0.0023813 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.742-0800: 52.070: [GC (Allocation Failure) 2020-10-27T22:13:58.742-0800: 52.070: [DefNew: 139840K->68K(157248K), 0.0020749 secs] 163507K->23735K(506816K), 0.0021519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.834-0800: 52.162: [GC (Allocation Failure) 2020-10-27T22:13:58.834-0800: 52.162: [DefNew: 139844K->68K(157248K), 0.0023038 secs] 163511K->23735K(506816K), 0.0023853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:58.929-0800: 52.257: [GC (Allocation Failure) 2020-10-27T22:13:58.929-0800: 52.257: [DefNew: 139844K->96K(157248K), 0.0020954 secs] 163511K->23763K(506816K), 0.0021728 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:59.022-0800: 52.350: [GC (Allocation Failure) 2020-10-27T22:13:59.022-0800: 52.350: [DefNew: 139872K->78K(157248K), 0.0021847 secs] 163539K->23745K(506816K), 0.0022779 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:59.115-0800: 52.444: [GC (Allocation Failure) 2020-10-27T22:13:59.115-0800: 52.444: [DefNew: 139854K->56K(157248K), 0.0020114 secs] 163521K->23722K(506816K), 0.0020935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:59.209-0800: 52.537: [GC (Allocation Failure) 2020-10-27T22:13:59.209-0800: 52.537: [DefNew: 139832K->81K(157248K), 0.0022023 secs] 163498K->23748K(506816K), 0.0022833 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:59.302-0800: 52.631: [GC (Allocation Failure) 2020-10-27T22:13:59.302-0800: 52.631: [DefNew: 139857K->69K(157248K), 0.0021475 secs] 163524K->23736K(506816K), 0.0022244 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:59.521-0800: 52.849: [GC (Allocation Failure) 2020-10-27T22:13:59.521-0800: 52.849: [DefNew: 139845K->72K(157248K), 0.0022559 secs] 163512K->23739K(506816K), 0.0023283 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
